LastName,AtBats,Runs,Hits,RBIs
Alberto,223,23,62,38
Dozier,158,29,36,12
Gallagher,53,10,15,3
Gutierrez,9,0,1,0
Heath,13,2,2,3
Lopez,169,15,34,13
McBroom,81,8,20,10
Mejia,14,1,1,0
Merrifield,248,38,70,30
Mondesi,219,33,56,22
O'Hearn,113,7,22,18
Olivares,62,5,17,7
Perez,150,22,50,32
Soler,149,17,34,24
Viloria,21,1,4,0
